Kategorija,id,Naslov,Ogledi,Glasovi,Število odgovorov,Ima sprejet odgovor,Avtor,Čas objave
highest-score,733754,Visually stunning math concepts which are easy to explain,611671,1658,90,False,,
highest-score,21199,Is $\frac{\textrm{d}y}{\textrm{d}x}$ not a ratio?,154275,1321,27,True,BBSysDyn,"Feb 9, 2011 at 16:23"
highest-score,379927,"If it took 10 minutes to saw a board into 2 pieces, how long will it take to saw another into 3 pieces?",161261,1101,32,True,yuritsuki,"May 3, 2013 at 3:31"
highest-score,71874,Can I use my powers for good? [closed],102766,920,29,False,,
highest-score,12906,"The staircase paradox, or why $\pi\ne4$",121708,912,24,True,Pratik Deoghare,"Dec 3, 2010 at 13:44"
highest-score,8337,Different ways to prove $\sum_{k=1}^\infty \frac{1}{k^2}=\frac{\pi^2}{6}$ (the Basel problem),155187,882,59,True,,
highest-score,358423,A proof of $\dim(R[T])=\dim(R)+1$ without prime ideals?,53150,882,0,False,Martin Brandenburg,"Apr 11, 2013 at 15:19"
highest-score,44704,How to study math to really understand it and have a healthy lifestyle with free time? [closed],205314,866,27,True,,
highest-score,668,What&#39;s an intuitive way to think about the determinant?,185611,847,20,True,Jamie Banks,"Jul 25, 2010 at 2:25"
highest-score,216343,Does $\pi$ contain all possible number combinations?,246358,807,12,True,Chani,"Oct 18, 2012 at 14:35"
highest-score,637728,Splitting a sandwich and not feeling deceived,73204,697,26,True,VividD,"Jan 14, 2014 at 5:08"
highest-score,323334,What was the first bit of mathematics that made you realize that math is beautiful? (For children&#39;s book) [closed],58353,660,164,False,,
highest-score,1681993,Why is $1 - \frac{1}{1 - \frac{1}{1 - \ldots}}$ not real?,45934,648,8,True,Martin Ender,"Mar 3, 2016 at 20:46"
highest-score,111440,Examples of patterns that eventually fail,61390,640,46,False,,
highest-score,2755,Why can you turn clothing right-side-out?,87501,639,6,True,Christopher,"Aug 19, 2010 at 0:08"
highest-score,952466,Is there a bijection of $\mathbb{R}^n$ with itself such that the forward map is connected but the inverse is not?,25762,638,0,False,Willie Wong,"Sep 30, 2014 at 12:18"
highest-score,562694,"Integral $\int_{-1}^1\frac1x\sqrt{\frac{1+x}{1-x}}\ln\left(\frac{2\,x^2+2\,x+1}{2\,x^2-2\,x+1}\right) \mathrm dx$",442180,622,19,True,Laila Podlesny,"Nov 11, 2013 at 17:07"
highest-score,11669,Mathematical difference between white and black notes in a piano,96663,596,21,True,egarcia,"Nov 24, 2010 at 9:24"
highest-score,75130,How to prove that $\lim\limits_{x\to0}\frac{\sin x}x=1$?,246957,562,31,True,FUZxxl,"Oct 23, 2011 at 16:21"
highest-score,154,Do complex numbers really exist?,76468,546,37,True,,
highest-score,302023,Best Sets of Lecture Notes and Articles,77825,535,10,False,,
highest-score,206890,&quot;The Egg:&quot; Bizarre behavior of the roots of a family of polynomials.,23599,526,7,False,Alexander Gruber,"Oct 4, 2012 at 0:55"
highest-score,199676,What are imaginary numbers?,88135,524,22,True,Sachin Kainth,"Sep 20, 2012 at 12:18"
highest-score,54506,Is this Batman equation for real? [closed],528118,466,10,True,a_hardin,"Jul 29, 2011 at 21:15"
highest-score,3869,What is the intuitive relationship between SVD and PCA?,264283,465,4,True,wickedchicken,"Sep 2, 2010 at 11:52"
highest-score,39802,To sum $1+2+3+\cdots$ to $-\frac1{12}$,68029,463,18,False,,"May 18, 2011 at 4:26"
highest-score,178940,Proofs that every mathematician should know. [closed],95714,460,23,False,,
highest-score,30732,How can I evaluate $\sum_{n=0}^\infty(n+1)x^n$?,95634,456,24,True,backus,"Apr 3, 2011 at 21:41"
highest-score,1002,Fourier transform for dummies,383238,455,14,False,,
highest-score,617625,On &quot;familiarity&quot; (or How to avoid &quot;going down the Math Rabbit Hole&quot;?),30260,452,22,True,kjo,"Dec 24, 2013 at 22:08"
highest-score,406099,My son&#39;s Sum of Some is beautiful! But what is the proof or explanation?,30536,446,10,True,haugsire,"May 29, 2013 at 20:50"
highest-score,630339,Pedagogy: How to cure students of the &quot;law of universal linearity&quot;?,52534,406,33,False,,
highest-score,3852,If $AB = I$ then $BA = I$,152526,405,36,True,Dilawar,"Sep 2, 2010 at 7:04"
highest-score,820686,&#39;Obvious&#39; theorems that are actually false,86951,389,74,True,,
highest-score,243770,Can every proof by contradiction also be shown without contradiction?,30369,386,15,True,sonicboom,"Nov 24, 2012 at 15:31"
highest-score,290435,Find five positive integers whose reciprocals sum to $1$,47678,381,20,True,Low Scores,"Jan 30, 2013 at 9:31"
highest-score,505367,Collection of surprising identities and equations.,41343,379,124,False,,
highest-score,11150,Zero to the zero power – is $0^0=1$?,54956,379,24,True,Stas,"Nov 20, 2010 at 23:02"
highest-score,11,Is it true that $0.999999999\ldots=1$?,64691,370,31,True,,
highest-score,23312,What is the importance of eigenvalues/eigenvectors?,247068,369,11,True,Ryan,"Feb 23, 2011 at 2:31"
highest-score,155,How can you prove that a function has no closed form integral?,55823,369,7,True,Simon Nickerson,"Jul 20, 2010 at 22:17"
highest-score,259584,Why don&#39;t we define &quot;imaginary&quot; numbers for every &quot;impossibility&quot;?,30662,362,23,True,lily,"Dec 15, 2012 at 23:36"
highest-score,1633704,Calculating the length of the paper on a toilet paper roll,61454,362,8,True,,"Jan 30, 2016 at 22:00"
highest-score,258736,Limit of sequence of growing matrices [closed],21500,350,0,False,Eckhard,"Dec 14, 2012 at 15:37"
highest-score,250,A challenge by R. P. Feynman: give counter-intuitive theorems that can be translated into everyday language,34058,348,36,False,,
highest-score,362446,Nice examples of groups which are not obviously groups,40848,344,32,False,,
highest-score,318299,Any open subset of $\Bbb R$ is a countable union of disjoint open intervals,140294,334,17,False,,
highest-score,158219,Is a matrix multiplied with its transpose something special?,731148,333,9,True,Martin Ueding,"Jun 14, 2012 at 12:11"
highest-score,3444,Intuition for the definition of the Gamma function?,28297,333,9,True,Qiaochu Yuan,"Aug 27, 2010 at 5:01"
